itemkey,itemvalue,itemlink,strict
TACACS,Terminal Access Controller Access-Control System,https://en.wikipedia.org/wiki/TACACS,true
TAR,Tape ARchive,https://en.wikipedia.org/wiki/Tar_(computing),true
Tb,Terabit,https://en.wikipedia.org/wiki/Terabit_Ethernet,true
TB,Terabyte,https://en.wikipedia.org/wiki/Byte,false
Tbps,Terabits per second,https://en.wikipedia.org/wiki/Data-rate_units#Terabit_per_second,false
TCP,Transmission Control Protocol,https://en.wikipedia.org/wiki/Transmission_Control_Protocol,true
TCP/IP,Transmission Control Protocol/Internet Protocol,https://en.wikipedia.org/wiki/Internet_protocol_suite,true
TFTP,Trivial File Transfer Protocol,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol,true
TKIP,Temporal Key Integrity Protocol (WPA),https://en.wikipedia.org/wiki/Temporal_Key_Integrity_Protocol,false
TLS,Transport Layer Security,https://en.wikipedia.org/wiki/Transport_Layer_Security,true
TN,Twisted Nematic (LCD),https://en.wikipedia.org/wiki/Twisted_nematic_field_effect,true
TPM,Trusted Platform Module (see HSM),https://en.wikipedia.org/wiki/Trusted_Platform_Module,true
TRRS,Tip Ring Ring Sleeve (headphone jack),https://en.wikipedia.org/wiki/Phone_connector_(audio)#TRRS_standards,false
UAC,User Account Control (Windows MAC enforcement feature),https://en.wikipedia.org/wiki/User_Account_Control,true
UDP,User Datagram Protocol,https://en.wikipedia.org/wiki/User_Datagram_Protocol,true
UEFI,Unified Extensible Firmware Interface,https://en.wikipedia.org/wiki/UEFI,true
UHD,Ultra High Definition,https://en.wikipedia.org/wiki/Ultra-high-definition_television,true
UNC,Universal Naming Convention (Windows network path),https://en.wikipedia.org/wiki/Path_(computing)#Universal_Naming_Convention,true
UPnP,Universal Plug and Play,https://en.wikipedia.org/wiki/Universal_Plug_and_Play,true
UPS,Uninterruptible Power Supply,https://en.wikipedia.org/wiki/Uninterruptible_power_supply,true
URL,Uniform Resource Locator,https://en.wikipedia.org/wiki/URL,false
USB,Universal Serial Bus,https://en.wikipedia.org/wiki/USB,true
USB-C,Universal Serial Bus Type C,https://en.wikipedia.org/wiki/USB-C,true
USB OTG,Universal Serial Bus On-The-Go,https://en.wikipedia.org/wiki/USB_On-The-Go,false
UTM,Unified Threat Management,https://en.wikipedia.org/wiki/Unified_threat_management,true
UTP,Unshielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair#Unshielded_twisted_pair,true
UWP,Universal Windows Platform (apps),https://en.wikipedia.org/wiki/Universal_Windows_Platform_apps,false
UX,User Experience,https://en.wikipedia.org/wiki/User_experience,false
VA,Vertical Alignment (LCD),https://en.wikipedia.org/wiki/Liquid-crystal_display#Vertical_alignment_(VA),true
VDI,Virtual Desktop Infrastructure,https://en.wikipedia.org/wiki/Desktop_virtualization,true
VGA,Video Graphics Array,https://en.wikipedia.org/wiki/Video_Graphics_Array,true
VLAN,Virtual LAN,https://en.wikipedia.org/wiki/VLAN,true
VM,Virtual Machine,https://en.wikipedia.org/wiki/Virtual_machine,true
VM,Virtual Memory,https://en.wikipedia.org/wiki/Virtual_memory,false
VNC,Virtual Network Computing,https://en.wikipedia.org/wiki/Virtual_Network_Computing,true
VoIP,Voice over Internet Protocol,https://en.wikipedia.org/wiki/Voice_over_IP,true
VoLTE,Voice over Long Term Evolution,https://en.wikipedia.org/wiki/Voice_over_LTE,false
VPN,Virtual Private Network,https://en.wikipedia.org/wiki/Virtual_private_network,true
VRAM,Video Random-Access Memory,https://en.wikipedia.org/wiki/Video_random-access_memory,true
WAF,Web Application Firewall,https://en.wikipedia.org/wiki/Web_application_firewall,true
WAN,Wide Area Network,https://en.wikipedia.org/wiki/Wide_area_network,true
WAP,Wireless Access Point,https://en.wikipedia.org/wiki/Wireless_access_point,true
WDDM,Windows Display Driver Model,https://en.wikipedia.org/wiki/Windows_Display_Driver_Model,false
WEP,"Wired Equivalent Privacy (flawed, do not use)",https://en.wikipedia.org/wiki/Wired_Equivalent_Privacy,true
WiFi,Wireless Fidelity (802.11),https://en.wikipedia.org/wiki/Wi-Fi,false
WinPE,Windows Preinstallation Environment,https://en.wikipedia.org/wiki/Windows_Preinstallation_Environment,false
WISP,Wireless Internet Service Provider,https://en.wikipedia.org/wiki/Wireless_Internet_service_provider,true
WLAN,Wireless LAN,https://en.wikipedia.org/wiki/Wireless_LAN,true
WMN,Wireless Mesh Network,https://en.wikipedia.org/wiki/Wireless_mesh_network,true
WPA,Wi-Fi Protected Access (TKIP),https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA,true
WPA2,Wi-Fi Protected Access 2,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA2,false
WPA3,Wi-Fi Protected Access 3,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA3,false
WPS,Wi-Fi Protected Setup,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Setup,true
WWAN,Wireless Wide Area Network,https://en.wikipedia.org/wiki/Wireless_WAN,true
XML,Extensible Markup Language,https://en.wikipedia.org/wiki/XML,false
XMP,Extreme Memory Profile (Intel),https://en.wikipedia.org/wiki/Serial_presence_detect#Intel_Extreme_Memory_Profile_(XMP),true
XSS,Cross-Site Scripting,https://en.wikipedia.org/wiki/Cross-site_scripting,true
YUM,"Yellowdog Updater, Modified (Linux)",https://en.wikipedia.org/wiki/Yum_(software),false
